"","RNAi","exon","exon_cluster","n","average.z","protein"
"208","FBgn0025571..SF1.","4.04",4,2,2.90592578586661,"SF1"
"209","FBgn0025571..SF1.","6.03",6,2,2.18467271722276,"SF1"
"211","FBgn0025571..SF1.","9.13",9,2,2.72620213183741,"SF1"
"212","FBgn0025571..SF1.","9.15",9,2,5.58233587817111,"SF1"
"214","FBgn0025571..SF1.","9.30",9,2,4.61549264893554,"SF1"
"223","FBgn0027868..Nup107.","4.03",4,2,3.92690210037732,"Nup107"
"230","FBgn0028577..pUf68.","17.02",17,2,3.48146314377054,"pUf68"
"234","FBgn0030365..Tango4.","4.06",4,2,2.8460415503722,"Tango4"
"236","FBgn0030365..Tango4.","4.11",4,2,3.70399067246469,"Tango4"
"261","FBgn0031114..cactin.","4.12",4,2,4.33446057653929,"cactin"
"266","FBgn0031114..cactin.","9.skip",9,2,2.26514058908701,"cactin"
"277","FBgn0031493..CG3605.","6.skip",6,2,2.64037481130166,"CG3605"
"287","FBgn0031822..CG9548.","6.skip",6,2,2.28769325613984,"CG9548"
"288","FBgn0031883..Caper.","4.04",4,2,2.86813458236226,"Caper"
"296","FBgn0031883..Caper.","9.30",9,2,7.26717973362488,"Caper"
"297","FBgn0031883..Caper.","9.31",9,2,4.85734164970363,"Caper"
"298","FBgn0031883..Caper.","17.02",17,2,3.63415646739553,"Caper"
"305","FBgn0032690..CG10333.","6.45",6,2,2.33476853212202,"CG10333"
"326","FBgn0033688..Prp8.","4.11",4,2,3.35186611666287,"Prp8"
"330","FBgn0033859..CG6197.","4.05",4,2,2.43931614310937,"CG6197"
"335","FBgn0034084..CG8435.","4.11",4,2,2.35783404883827,"CG8435"
"341","FBgn0034572..CG9346.","6.35",6,2,2.14897739097591,"CG9346"
"358","FBgn0035424..CG11505.","4.05",4,2,2.67124279772213,"CG11505"
"360","FBgn0035424..CG11505.","4.08",4,2,2.4824429945571,"CG11505"
"367","FBgn0035692..CG13298.","4.12",4,2,2.60696428922623,"CG13298"
"369","FBgn0035692..CG13298.","6.47",6,2,2.45760254046009,"CG13298"
"375","FBgn0035987..CG3689.","4.08",4,2,2.43083237719025,"CG3689"
"384","FBgn0036734..CG7564.","4.05",4,2,2.2119930612091,"CG7564"
"390","FBgn0037220..CG14641.","4.11",4,2,2.54058305275653,"CG14641"
"391","FBgn0037220..CG14641.","4.12",4,2,4.87524751416745,"CG14641"
"392","FBgn0037220..CG14641.","9.skip",9,2,2.95283579907887,"CG14641"
"393","FBgn0037342..CG2931.","4.03",4,2,2.66739101986035,"CG2931"
